"Title","Description","Singers (one line)","YoutubeID"
"'ഇബ്‌റാഹീമായിടാം' | Music Video | Ajmal Sinan | Ayman MA | Sio Kerala | Samvedhanavedhi","ഇബ്‌റാഹീമായിടാം | Music Video | Lyrics & Music Ayman MA |  Vocal Ajmal Sinan | Arranged by Faheed Ali | Mixing and Mastering  Adam Shajeeh | Cinematography Fawas Puthur | Associate Cinematography Amal CH | Edited by Misab KP | Design Badeeu Zaman |  Instruments Roshan Haris |  Studio Adam's MixLab | Creative Support Saeed Kodungallur | Jewad PS | ഇബ്റാഹീമിൻ ബഹ്റല കഥയാലും | ഇസ്മാഈലിൻ ബലിനിലം വിറയാർന്നും | കഥ കേട്ട്  ജിന്നിൻസും മലക്കും മഹ് ലൂഖും | ഇഹംപരം ഹംദാലെ തഹമീദിലാഴ്ത്തുന്നു- | തികവൊത്ത കഅ്ബക്കായ് | പകൽചൂടുംകനം പേറും | മികവൊത്ത ശുക്റാലെ | ഇരുൾക്കാടും നനഞ്ഞീടും 2 | നിർഭയം തന്നിടൂ | നീർജലം ഒഴുകിടൂ | നിന്നിലേക്കെത്തിടാൻ","Not credited","VKRptv8F5ks"
"Amina Beevithan | ആമിന ബീവി തൻ | Dana Razik |  Cover song | samvedhanavedi | SIO KERALA","Amina Beevithan | ആമിന ബീവി തൻ | Dana Razik |  Cover song | മദ്ഹ് ഗാനം | samvedhanavedi |SIO KERALA | ആമിന ബീവി തൻ | പ്രവാചക മദ്ഹ് ഗാനം | Cover Version | Lyrics: TKM Iqbal | Vocal: Dana Razik | Orchestra: Akbar Malappuram | Direction & Edit : Jasir Basheer | Cinematography : Syed Fahri | Associate Direction :  Sayid Muzammil | Associate Cinematography : Bilal Vkd | Art & Title Design : Roshan Ibnu Ummer | ഒറിജിനൽ സോങ്ങ് | രചന: ടി.കെ.എം. ഇഖ്ബാൽ","Dana Razik","GvZ-Hsbocjw"
"ILAHINTE VARIDHI | ഇലാഹിന്റെ വാരിധി | Lyrical Animation Video | SIO AL JAMIA | Samvedhanavedi","Song : ILAHINTE VARIDHI | Lyrics:Ayman MA | Composed by: Haseeb Razak | Vocal  : Salman SV | Concept & Subtitle:Ameen Nasih | Graphics & Animation:Mishab Karakkunnu | Backing Vocals : Haseeb Razak & Jasim Jamal | Guitar : Jasim Jamal | Programming, Mixing & Mastering : Antony Raphael | Creative Support : Jasim Jamal,Hafees ,Saeed Hafiz, Ansif Abdullah and Safvan | Studio : NHQ Kochi & Tender Tone production Thrissur | ♫ Listen in Amazon Music : https://bit.ly/ilahintevaridhi | ♫ Listen in Spotify : https://bit.ly/ilahintevaridhispotify | ♫ Listen in iTunes : https://bit.ly/ilahintevaridhiapplemusic","Salman SV","93DP-EbTi8c"
"Mariyakkutty Katthpattu | മറിയക്കുട്ടി കത്ത്പാട്ട് | Sidrathul Munthaha | SIO Kerala | Mappilahaal","Mappila Haal Lauching Ceremony | Mappila Haal | Interactive Virtual Exhibition | on 1921 Malabar Rebellion","Not credited","roC83SMEmtU"
"NERANITH POOKKUM | നേരാണിത് പൂക്കും | Lyrical Video | Samvedhanavedi | SIO KERALA","Lyrics: Iqbal Mullungal | Music: Ubaid Kunnakkavu | Vocal: Mithulesh Cholakkal, Sabnas Kozhikode | Recording & Mixing: Khayal Calicut | Video: Sabith Misalee | Creative Support : Saeed Kodungallur , Roshan bin Ummer | മേരി ജാൻ മേരി ഷാൻ | Sio സിന്ദാബാദ് | മേരി ജാൻ മേരി ഷാൻ | Sio സിന്ദാബാദ് | ഇനിയിരുളിൽ നിങ്ങള് മെനയണ | കള്ളക്കഥ തോൽക്കും | ഇത് ഞങ്ങളുറക്കെപ്പാട്ണ | നേരാണിത് പൂക്കും","Mithulesh Cholakkal, Sabnas Kozhikode","te0N8BEqG8o"
"NOORUN ALA NOOR | നൂറുൻ അലാ നൂർ | FAHEED ALI | COVER SONG | SAMVEDHANAVEDHI","NOORUN ALA NOOR | നൂറുൻ അലാ നൂർ | Lyrics: Jameel Ahmed | Vocal: Faheed Ali | Programming/ Mastering: Suveesh viswa | Video: Saeed Kodungallur | Studio: MusiqHut Vadakara","Faheed Ali","6lc5fAZxEVk"
"Puzhanombarathinte | പുഴനൊമ്പരത്തിന്റെ | Karunyatheeram | കാരുണ്യതീരം | sio song 01","""Puzhanombarathinte Chudumanal Nettiyil"" is the first song of the famous album Karunyatheeram. Karunyatheeram is released by sio. And it is still remembered as the best of sio songs. | This song is being Re uploaded by sio Ernakulam as part of its District Cadre Conference, Jan 2018.","Not credited","WzEWzFTb6TU"
"Rap Performance | EmEn | SIO Kerala | Mappilahaal Launching Ceremony","Mappila Haal Lauching Ceremony | Mappila Haal | Interactive Virtual Exhibition | on 1921 Malabar Rebellion","Not credited","0gP9-KMFblQ"
"SHIKHARAM | ശിഖരം | Thanima Bengaluru | Ajmal Mampad | Shammas Oliyath | Faheed Ali,Saarika Gopinath","Thanima Bengaluru Presents | Lyrics : Ajmal Mampad | Music : Shammas Oliyath | Vocal : Faheed Ali, Saarika Gopinath | Title Design - Kareemgraphy | Programming and Mixing : SanDy | Studio : Sandy's Recording Suite - Vadakara | Concept & Co ordination : Shafeeq Ajmal | Releasing on Samvedhanavedhi | മുകിലുകൾക്ക് മീതേ | ശിഖരമാവണം | മേഘജാലങ്ങളിലേന്തീ  വഴിതാണ്ടണം | മോഹം പൂക്കും തീരാദാഹം | ഏഴു വാനങ്ങൾ ചേരും പാരാവാരം","Faheed Ali, Saarika Gopinath","LXK1viuPDlo"
"Sio revolutionary song Jeevitha paadam","സാർവമൗലിക നീലിമയും | ശാന്തി പരത്തും ധവളിമയും | വിപ്ലവമോതും ഷോണിമയും | ചേർത്തു കെട്ടിയ മൂവർണ്ണക്കൊടി | വാനിലുയർത്തി ഞങ്ങൾ വിളിക്കും | എസ്.ഐ.ഒ സിന്ദാബാദ്...","Not credited","wXT1FxPLNAE"
